city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa,date_time,avg_speed_kmh,vehicle_count,accident_count,area,congestion_level,road_condition
London,Autumn,13.673659523170636,84.0,2.764149270259823,61.33893571953171,8271.0,Storm,1023.2871430069682,2024-10-28 16:20:00,69.03055308977459,4240.0,9.0,Westminster,Medium,Snowy
London,Spring,18.83957167425388,80.0,3.1797691328486595,58.28320353246503,3734.0,Clear,1006.70069074092,2024-04-14 07:07:00,66.58289040154898,1131.0,0.0,Kensington,High,Dry
London,Autumn,13.14163470280701,74.0,80.0,53.28209841044383,1702.0,Fog,1014.8313718731714,2024-11-06 03:15:00,56.304412873274686,1045.0,6.0,Islington,Medium,Dry
London,Autumn,16.96724683529747,67.0,17.294163186913675,40.71375111531215,8331.0,Fog,985.4372477073848,2024-09-12 10:52:00,51.60626452030669,1231.0,0.0,Camden,High,Snowy
London,Winter,5.075125269230565,68.0,26.729736525571145,58.09342342838514,7540.0,Fog,992.1548368878372,2024-12-09 05:46:00,51.21038901853948,2127.0,3.0,Westminster,Low,Wet
London,Autumn,7.751109655875508,81.0,3.3440174711293227,38.23703164335808,4348.0,Rain,1012.1019448481152,2024-11-13 02:03:00,54.52545916324791,2917.0,3.0,Greenwich,Medium,Wet
London,Winter,13.024721910705647,70.0,0.0,20.25670799541227,5509.0,Fog,983.9532539162328,2024-12-02 15:19:00,69.72456019192867,5929.0,7.0,Westminster,High,Dry
London,Spring,15.345391842312006,55.0,1.411492462936878,22.427015434161817,8357.0,Snow,1020.7086230505944,2024-03-15 14:27:00,58.977804560649076,2740.0,2.0,Westminster,Low,Wet
London,Summer,13.353741422429566,74.0,0.0,39.03510341833556,3818.0,Snow,982.1092904262388,2024-06-07 02:57:00,54.5234884834536,1504.0,1.0,Chelsea,Medium,Snowy
London,Spring,18.18490281814145,53.0,0.1013262197577784,22.730431622648403,6701.0,Storm,1021.1417073183692,2024-05-09 01:58:00,33.47282252167742,3050.0,4.0,Kensington,Medium,Wet
London,Spring,17.651529040854534,66.0,5.393756778536276,3.049538060966661,6363.0,Snow,1003.5463397513053,2024-04-27 04:50:00,29.238029682304315,1610.0,2.0,Greenwich,High,Dry
London,Summer,10.959428276323264,72.0,16.98449105952858,23.32872461205364,6326.0,Storm,994.3319998359376,2024-08-22 18:46:00,67.99743758991028,2055.0,2.0,Chelsea,Medium,Wet
London,Autumn,21.27924286958705,59.0,19.91681452072065,15.828073589744758,8227.0,Fog,1025.592659117841,2024-09-02 15:12:00,57.06334072520882,2544.0,1.0,Camden,Medium,Dry
London,Summer,13.737922828147475,84.0,22.15101743016453,18.55417521764713,4486.0,Storm,1027.834808658593,2024-06-23 09:01:00,59.10270065441127,3615.0,1.0,Islington,High,Dry
London,Winter,16.621231649105596,77.0,5.374343805617401,28.664518718864336,20000.0,Fog,1021.39705019604,2024-02-24 07:12:00,54.784926560681384,3463.0,7.0,Westminster,Low,Wet
London,Autumn,16.93725702290174,74.0,0.4019124930316504,47.63437065042349,8349.0,Rain,1018.2890180467928,2024-01-23 10:29:00,35.082554115779104,3587.0,5.0,Camden,Low,Dry
London,Spring,13.43835055006662,72.0,4.231212322709452,28.14223648269005,5918.0,Fog,997.158479387964,2024-05-09 14:07:00,79.53878808919526,224.0,0.0,Islington,High,Wet
London,Spring,21.11811725441036,79.0,0.0,0.0,9773.0,Clear,994.2565215780714,2024-04-22 20:41:00,21.45291545032805,193.0,0.0,Southwark,Medium,Damaged
London,Summer,12.700025929807037,63.0,0.0,21.011241708237755,4204.0,Snow,1012.7611089746476,2024-08-01 00:39:00,20.582846844066356,2543.0,2.0,Southwark,Medium,Snowy
London,Autumn,16.482440219440033,69.0,0.0,14.586360429859443,1605.0,Clear,1002.2075605868567,2024-11-30 15:20:00,52.15231077994863,3166.0,2.0,Chelsea,Medium,Dry
London,Summer,15.741589820884345,65.0,20.977553040807592,45.33021764047914,8245.0,Storm,1001.7700205803822,2024-07-21 13:52:00,37.66821597539766,1610.0,1.0,Camden,Low,Damaged
London,Winter,23.838804798508388,87.0,16.447318470347824,29.785171492569987,9806.0,Snow,988.5155784858252,2024-01-02 08:13:00,40.82651713197421,1794.0,4.0,Kensington,Low,Snowy
London,Autumn,24.42576628639086,83.0,0.0,29.756729675173528,5861.0,Clear,991.8310646746584,2024-10-13 18:24:00,44.304267959879695,1156.0,3.0,Westminster,Low,Wet
London,Summer,20.547843241252835,88.0,15.174980076473483,37.333943126670206,1558.0,Snow,1028.872852295234,2024-07-30 10:04:00,57.5268217258405,6957.0,3.0,Greenwich,Medium,Dry
London,Winter,14.289819118974767,70.0,0.0,35.445274613757974,4335.0,Clear,1018.6853265911597,2024-02-19 05:44:00,35.52069242089945,6245.607396870555,12.0,Greenwich,Low,Dry
London,Summer,13.496115593931098,82.0,5.064042626962207,33.5115283491583,8914.0,Rain,1012.2306057214856,2024-08-15 08:58:00,42.35987974688415,2192.0,0.0,Islington,Low,Snowy
London,Spring,18.881299417952995,80.0,6.365050950290669,23.867633704949917,5347.0,Clear,992.2180327234934,2024-04-05 07:47:00,62.81257701688734,7838.0,10.0,Westminster,Medium,Wet
London,Autumn,23.85904735119129,74.0,0.0,16.315496929721807,4719.0,Clear,1024.3013635147977,2024-09-28 01:52:00,65.22188308881914,1042.0,5.0,Southwark,Medium,Dry
London,Spring,20.357107023253786,76.0,24.10309175965241,0.0,2100.0,Snow,1002.5401222064604,2024-05-20 09:01:00,32.09175545066141,1347.0,10.0,Kensington,Low,Wet
London,Winter,6.914006541488749,68.0,2.108494682166409,6.147043961342838,8026.0,Storm,1003.7953905357232,2024-12-21 08:25:00,59.51213835240395,10221.0,6.0,Camden,High,Snowy
London,Summer,15.0474988386145,61.0,0.0,40.57917126327519,7443.0,Clear,987.867473737988,2024-07-13 19:30:00,29.454260811240868,1753.0,1.0,Camden,High,Dry
London,Autumn,19.801535510363436,58.0,11.216257000908971,35.714598230367415,5975.0,Clear,1016.2193352857014,2024-04-12 02:48:00,59.28266078281968,2351.0,2.0,Westminster,Low,Dry
London,Summer,12.812538128379936,86.0,4.086597057455247,0.0,8502.0,Storm,1018.6470771732288,2024-08-12 08:48:00,72.84571352445269,2998.0,1.0,Westminster,Low,Dry
London,Winter,8.297473635315232,51.0,14.235134621047251,20.4627724581342,8528.0,Clear,995.135196483132,2024-02-12 09:38:00,62.443009830453164,4520.0,10.0,Kensington,Low,Wet
London,Autumn,10.104933722852689,50.0,16.768553499182058,41.812767895603024,5130.0,Clear,1026.4138115789865,2024-11-06 19:08:00,51.65052883495482,635.0,10.0,Greenwich,Medium,Wet
London,Autumn,13.735810327638688,70.60092095165004,0.1284675547930955,45.52319691105436,9659.0,Rain,1019.4641354409124,2024-09-07 23:03:00,51.03429443486083,1538.0,5.0,Chelsea,Medium,Wet
London,Autumn,22.83624577388561,59.0,0.0,26.57281100787093,1642.0,Snow,995.52972181665,2024-09-12 09:10:00,59.76875300304062,861.0,3.0,Southwark,High,Snowy
London,Summer,10.39450996702487,80.0,0.0,45.200885142798654,8885.0,Storm,1000.6976996048928,2024-06-24 20:26:00,39.51766650969789,2775.0,5.0,Islington,Medium,Dry
London,Summer,12.045110413469866,50.0,10.178378935790574,32.518551669343644,5641.0,Snow,1019.2631649445782,2024-06-05 00:27:00,56.625069945202334,2594.0,5.0,Greenwich,High,Damaged
London,Autumn,23.815610226104106,64.0,18.335210562758263,39.60257169294084,5894.0,Fog,1020.8641250785828,2024-11-27 14:36:00,29.527582372503247,320.0,0.0,Islington,Low,Damaged
London,Autumn,13.159968955487152,56.0,7.175339652887146,51.307282675253965,3551.0,Rain,1021.7174639902796,2024-10-22 11:47:00,49.062252160702876,3199.0,3.0,Islington,Low,Dry
London,Autumn,22.72554273418937,81.0,4.19854841006969,36.03628137745293,2479.0,Rain,1001.6553605374004,2024-09-20 09:50:00,37.530093331059874,597.0,4.0,Camden,Medium,Wet
London,Summer,17.401763331057616,67.0,8.665860895492699,32.3835073285929,5509.0,Snow,991.3564536458044,2024-06-11 21:29:00,46.24617786206248,1503.0,8.0,Southwark,Medium,Damaged
London,Autumn,22.67623493798127,80.0,9.298960797916518,37.83444176075251,9322.0,Storm,1027.907078925184,2024-10-16 01:02:00,41.68330581832786,2526.0,9.0,Chelsea,Low,Dry
London,Winter,18.453185544993445,81.0,11.149048801505671,15.777747439165518,7760.0,Rain,1004.2504653259604,2024-02-03 04:07:00,43.955839149748144,2054.0,4.0,Islington,Medium,Snowy
London,Autumn,14.778863729625712,74.0,7.579630663659422,120.0,8106.0,Rain,1004.1705522346084,2024-10-12 03:51:00,45.88628334589744,874.0,3.0,Islington,High,Snowy
London,Autumn,9.015794324413042,63.0,2.053275319843168,29.61530509362002,8570.0,Rain,1002.231956485508,2024-10-10 14:37:00,39.33044594401416,1353.0,4.0,Kensington,Medium,Snowy
London,Autumn,21.080989824088107,89.0,0.0,27.313733338930515,1969.0,Storm,1007.7610299147,2024-09-07 13:39:00,39.70505966839946,995.0,4.0,Westminster,Low,Damaged
London,Spring,23.482991571287688,76.0,0.0,23.93970457018382,3228.0,Rain,1004.6283469477576,2024-04-17 12:46:00,56.504088008601855,2024.0,3.0,Chelsea,High,Damaged
London,Spring,14.94846795785012,83.0,4.319584353388767,0.0,2386.0,Rain,987.7378947254429,2024-05-06 03:20:00,75.6092490763936,1537.0,1.0,Kensington,Unknown,Dry
London,Winter,8.175073428806181,89.0,3.920256065720399,25.473450368954683,2298.0,Rain,1006.262693454329,2024-02-16 22:58:00,50.668073158722336,5111.0,9.0,Islington,Medium,Dry
London,Spring,20.196265462287517,88.0,4.443633358928833,49.15203442474613,3805.0,Clear,987.7635577848756,2024-05-09 12:17:00,35.22830562101567,5155.0,5.0,Kensington,Medium,Snowy
London,Spring,14.761618990887971,77.0,20.304156040020004,6.655080252299776,9108.0,Fog,1002.4535716596536,2024-03-03 18:24:00,23.067479302204102,2962.0,1.0,Westminster,High,Damaged
London,Autumn,23.992047070737705,70.0,11.159513825729904,46.560838650847145,9810.0,Clear,1028.3727975223944,2024-11-25 12:05:00,62.4573438942821,2487.0,3.0,Southwark,Medium,Wet
London,Autumn,10.300299962882464,55.0,0.0,30.32160167083602,3666.0,Snow,985.0656174159526,2024-09-19 13:12:00,37.653682644078124,5787.0,5.0,Chelsea,Low,Wet
